league,vis_team,home_team,inning,bat_team,batting_team,pitching_team,outs,balls,strikes,vis_score,home_score,batter,bat_hand,pitcher,pitch_hand,catcher,run_on_1st,run_on_2nd,run_on_3rd,is_leadoff,def_pos,lineup_pos,event_type,is_batter_event,is_at_bat,hit_value,is_sac_hit,is_sac_fly,outs_made,batted_ball_type,bat_dest,run_1st_dest,run_2nd_dest,run_3rd_dest,runs_on_play,is_new_game,is_game_end
AL,HOU,ANA,1,1,ANA,HOU,2,0,1,0,2,walsj001,L,greiz001,R,maldm001,,,,F,9,5,20,T,T,1,F,F,0,G,1,0,0,0,0,F,F
AL,HOU,ANA,1,1,ANA,HOU,2,1,2,0,2,uptoj001,R,greiz001,R,maldm001,walsj001,,,F,7,6,9,F,F,0,F,F,0,,0,2,0,0,0,F,F
AL,HOU,ANA,1,1,ANA,HOU,2,3,2,0,2,uptoj001,R,greiz001,R,maldm001,,walsj001,,F,7,6,2,T,T,0,F,F,1,F,0,0,2,0,0,F,F
AL,HOU,ANA,2,0,HOU,ANA,0,1,2,0,2,corrc001,R,bundd001,R,stasm001,,,,T,6,5,2,T,T,0,F,F,1,P,0,0,0,0,0,F,F
AL,HOU,ANA,2,0,HOU,ANA,1,0,2,0,2,tuckk001,L,bundd001,R,stasm001,,,,F,9,6,23,T,T,4,F,F,0,F,4,0,0,0,1,F,F
AL,HOU,ANA,2,0,HOU,ANA,1,0,1,1,2,diaza003,R,bundd001,R,stasm001,,,,F,7,7,23,T,T,4,F,F,0,F,4,0,0,0,1,F,F
AL,HOU,ANA,2,0,HOU,ANA,1,1,2,2,2,stram002,R,bundd001,R,stasm001,,,,F,8,8,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,2,0,HOU,ANA,2,3,2,2,2,maldm001,R,bundd001,R,stasm001,,,,F,2,9,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,2,1,ANA,HOU,0,2,2,2,2,rojaj002,L,greiz001,R,maldm001,,,,T,5,7,3,T,T,0,F,F,1,,0,0,0,0,0,F,F
AL,HOU,ANA,2,1,ANA,HOU,1,1,1,2,2,stasm001,R,greiz001,R,maldm001,,,,F,2,8,2,T,T,0,F,F,1,F,0,0,0,0,0,F,F
AL,HOU,ANA,2,1,ANA,HOU,2,0,0,2,2,iglej001,R,greiz001,R,maldm001,,,,F,6,9,21,T,T,2,F,F,0,G,2,0,0,0,0,F,F
